"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",1,"Albánchez",NA,"Municipality","Municipality"
2,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",2,"Albox",NA,"Municipality","Municipality"
3,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",3,"Alcóntar",NA,"Municipality","Municipality"
4,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",4,"Arboleas",NA,"Municipality","Municipality"
5,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",5,"Armuña de Almanzora",NA,"Municipality","Municipality"
6,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",6,"Bacares",NA,"Municipality","Municipality"
7,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",7,"Bayarque",NA,"Municipality","Municipality"
8,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",8,"Cantoria",NA,"Municipality","Municipality"
9,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",9,"Chercos",NA,"Municipality","Municipality"
10,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",10,"Fines",NA,"Municipality","Municipality"
11,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",11,"Líjar",NA,"Municipality","Municipality"
12,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",12,"Lúcar",NA,"Municipality","Municipality"
13,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",13,"Laroya",NA,"Municipality","Municipality"
14,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",14,"Macael",NA,"Municipality","Municipality"
15,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",15,"Olula del Río",NA,"Municipality","Municipality"
16,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",16,"Oria",NA,"Municipality","Municipality"
17,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",17,"Partaloa",NA,"Municipality","Municipality"
18,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",18,"Purchena",NA,"Municipality","Municipality"
19,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",19,"Serón",NA,"Municipality","Municipality"
20,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",20,"Sierro",NA,"Municipality","Municipality"
21,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",21,"Somontín",NA,"Municipality","Municipality"
22,215,"ESP","Spain",1,"Andalucía",1,"Almería",1,"n.a. (15)",22,"Suflí",NA,"Municipality","Municipality"
